path,role,description
README.md,code_map,Explains the public execution path and boundaries.
requirements.txt,setup,Dependency file; mock mode uses only the Python standard library.
config.example.json,setup,Capped 94-event mock/provider configuration for quick inspection.
config.full_rerun.example.json,setup,Uncapped provider-backed configuration for full reruns.
env.example,setup,Example API-key and API-base-url environment variables.
schemas/experiment_schema.json,schema_reference,Field contracts for source packets, evidence banks, downstream requests, decision rows, and evaluation-only outcomes.
scripts/run_experiment.py,experiment_runner,End-to-end orchestrator for treatment rendering, upstream execution, downstream decisions, validation, and metrics.
scripts/render_treatments.py,treatment_generation,Original treatment rendering and upstream prompt-job construction script.
scripts/run_representation_harness.py,upstream_execution,Original upstream representation harness with mock and OpenAI-compatible modes.
scripts/build_downstream_requests.py,downstream_requests,Original downstream receiver request builder.
scripts/run_downstream_harness.py,downstream_execution,Original downstream decision harness with mock and OpenAI-compatible modes.
scripts/validate_decision_outputs.py,validation,Original downstream decision-output schema validator.
scripts/compute_diversity_metrics.py,metrics,Original E2A diversity/quality metric computation script.
scripts/experiment_run_profiles.py,config_support,Shared profile and run-profile definitions used by downstream request construction.
scripts/harness_openai_compat.py,provider_support,OpenAI-compatible HTTP client used by upstream and downstream harnesses.
scripts/canonicalize_decision_outputs.py,repair_support,Deterministic alias repair utility for provider output fields.
examples/source_packets/evt_demo.json,smoke_fixture,Minimal source packet fixture retained for small debugging runs.
examples/evidence_banks/evt_demo.json,smoke_fixture,Minimal evidence-bank fixture retained for small debugging runs.
examples/provider_outputs_demo.jsonl,smoke_fixture,Minimal provider-output fixture retained for normalization debugging.
examples/decision_rows.csv,smoke_fixture,Minimal downstream decision rows retained for metric debugging.
examples/evaluation_outcomes_demo.csv,smoke_fixture,Minimal evaluation-only outcome fixture retained for metric debugging.
