section,group,metric,label,value
by_heuristic_flag,contains_interpretive_or_expectations_language,hallucination_label_counts,material_unsupported_claim,15
by_heuristic_flag,contains_interpretive_or_expectations_language,hallucination_label_counts,minor_unsupported_detail,37
by_heuristic_flag,contains_interpretive_or_expectations_language,hallucination_label_counts,no_hallucination,48
by_heuristic_flag,contains_interpretive_or_expectations_language,labeled_hallucination_rows,,100
by_heuristic_flag,contains_interpretive_or_expectations_language,labeled_support_rows,,100
by_heuristic_flag,contains_interpretive_or_expectations_language,material_unsupported_claim_rate,,0.15
by_heuristic_flag,contains_interpretive_or_expectations_language,no_hallucination_rate,,0.48
by_heuristic_flag,contains_interpretive_or_expectations_language,post_event_leakage_rate,,0.0
by_heuristic_flag,contains_interpretive_or_expectations_language,rows,,100
by_heuristic_flag,contains_interpretive_or_expectations_language,support_label_counts,not_applicable,1
by_heuristic_flag,contains_interpretive_or_expectations_language,support_label_counts,partial,37
by_heuristic_flag,contains_interpretive_or_expectations_language,support_label_counts,supported,47
by_heuristic_flag,contains_interpretive_or_expectations_language,support_label_counts,unsupported,15
by_heuristic_flag,contains_interpretive_or_expectations_language,supported_or_not_applicable_rate,,0.48
by_heuristic_flag,no_numeric_claim_detected,hallucination_label_counts,material_unsupported_claim,1
by_heuristic_flag,no_numeric_claim_detected,hallucination_label_counts,minor_unsupported_detail,2
by_heuristic_flag,no_numeric_claim_detected,hallucination_label_counts,no_hallucination,177
by_heuristic_flag,no_numeric_claim_detected,labeled_hallucination_rows,,180
by_heuristic_flag,no_numeric_claim_detected,labeled_support_rows,,180
by_heuristic_flag,no_numeric_claim_detected,material_unsupported_claim_rate,,0.005555555555555556
by_heuristic_flag,no_numeric_claim_detected,no_hallucination_rate,,0.9833333333333333
by_heuristic_flag,no_numeric_claim_detected,post_event_leakage_rate,,0.0
by_heuristic_flag,no_numeric_claim_detected,rows,,180
by_heuristic_flag,no_numeric_claim_detected,support_label_counts,partial,2
by_heuristic_flag,no_numeric_claim_detected,support_label_counts,supported,177
by_heuristic_flag,no_numeric_claim_detected,support_label_counts,unsupported,1
by_heuristic_flag,no_numeric_claim_detected,supported_or_not_applicable_rate,,0.9833333333333333
by_heuristic_flag,none,hallucination_label_counts,minor_unsupported_detail,1
by_heuristic_flag,none,hallucination_label_counts,no_hallucination,248
by_heuristic_flag,none,labeled_hallucination_rows,,249
by_heuristic_flag,none,labeled_support_rows,,249
by_heuristic_flag,none,material_unsupported_claim_rate,,0.0
by_heuristic_flag,none,no_hallucination_rate,,0.9959839357429718
by_heuristic_flag,none,post_event_leakage_rate,,0.0
by_heuristic_flag,none,rows,,249
by_heuristic_flag,none,support_label_counts,partial,1
by_heuristic_flag,none,support_label_counts,supported,248
by_heuristic_flag,none,supported_or_not_applicable_rate,,0.9959839357429718
by_heuristic_flag,numeric_not_found_in_cited_sources,hallucination_label_counts,material_unsupported_claim,10
by_heuristic_flag,numeric_not_found_in_cited_sources,hallucination_label_counts,minor_unsupported_detail,24
by_heuristic_flag,numeric_not_found_in_cited_sources,hallucination_label_counts,no_hallucination,451
by_heuristic_flag,numeric_not_found_in_cited_sources,hallucination_label_counts,post_event_leakage,1
