release_group,release_path,role,artifact_use,paper_mapping,row_count_excluding_header,sha256
main,main/stage2_t2_t3_primary_full.csv,primary_contrast,"Main T2 vs T3 diversity, belief, and rationale contrast.",Main results: receiver bottleneck / T2-T3 contrast.,5,55cfc31df224872bfbf277ca6281422b602c24b9c45cd6d8c57dd91a66301056
main,main/stage2_quality_by_treatment_full.csv,quality_guardrail,"Treatment-level directional accuracy, strict action accuracy, and return-error guardrail.",Main results: quality guardrail.,3,9c98b5ea06a2f3e52f1db72118adbef6dd19ca87d30787c8a4fece625fe13286
main,main/stage1_summary_full.csv,upstream_summary,Stage 1 source/evidence compression summary.,Main results: upstream representation compression.,5,2f03d238fcfdd1b69cfaa5b42aa490f7789f9a0333da3dd29f8e2522e528d59f
main,main/stage2_by_model_cell_full.csv,model_breakdown,Model-cell breakdown for Stage 2 metrics.,Main results: model-level heterogeneity.,8,496d05d8d1cb791c4502a39869009fbe3b18fc1d41675a4abebab2d7962a4922
b0_followup,b0_followup/b0_treatment_contrasts_20260510.csv,main_text_followup,B0 canonical-evidence baseline treatment contrasts.,Main-text B0 follow-up.,6,1143369e3c813a0cd5e98742a09231c22c6a63933bf3a6077663d24369ad8697
b0_followup,b0_followup/b0_downstream_treatment_means_20260510.csv,main_text_followup,B0 downstream treatment means.,Main-text B0 follow-up.,5,26e5db174da0d901080fb0798cb2528fa9771ae8b91031cb333ffd10657b3b1e
b0_followup,b0_followup/b0_by_receiver_model_20260510.csv,main_text_followup,B0 receiver-model breakdown.,Main-text B0 follow-up.,20,93a10606e66cd7ab358452a0a92940af4c9aab3abaf84f0394580e3db983d698
t4_followup,t4_followup/t4_full_treatment_means.csv,main_mechanism_condition,T4 treatment means across diversity and quality metrics.,Main mechanism condition: full structured evidence ledger.,4,a84fa83a951d845e79b3af9eea8efeaa04fc21a8ed58ee9ea07082ea16a8d2d7
t4_followup,t4_followup/t4_full_event_bootstrap_contrasts.csv,main_mechanism_condition,T4 event-bootstrap contrasts.,Main mechanism condition: T4 contrast uncertainty.,12,c8336e37505b9323f9eee693a2db469e361dfdb8450d598c21c18daa02a3b4d6
t4_followup,t4_followup/quality_by_treatment_with_t4.csv,main_mechanism_condition,Quality guardrails with T4 included.,Main mechanism condition: quality guardrail.,4,e99517bd8637884de7ce784eb3869d31fc41d6923f6de01185b3a299fa33a677
