event_id,ticker,company_name,event_date,accepted_at_et,sector,market_cap_group,source_packet_path,canonical_evidence_bank_path,source_unit_count,xbrl_fact_count,evidence_unit_count,outcome_blind
evt_0001,DRI,DARDEN RESTAURANTS INC,2026-03-19,2026-03-19T07:06:37-04:00,Consumer Discretionary,large_cap,source_packets/evt_0001.json,canonical_evidence_banks/evt_0001.json,35,0,36,true
evt_0002,ROST,"ROSS STORES, INC.",2026-03-03,2026-03-03T16:03:09-05:00,Consumer Discretionary,large_cap,source_packets/evt_0002.json,canonical_evidence_banks/evt_0002.json,20,7,28,true
evt_0003,AZO,AUTOZONE INC,2026-03-03,2026-03-03T06:55:29-05:00,Consumer Discretionary,large_cap,source_packets/evt_0003.json,canonical_evidence_banks/evt_0003.json,24,9,34,true
evt_0004,MCD,MCDONALDS CORP,2026-02-11,2026-02-11T16:02:36-05:00,Consumer Discretionary,large_cap,source_packets/evt_0004.json,canonical_evidence_banks/evt_0004.json,42,0,43,true
evt_0005,HLT,Hilton Worldwide Holdings Inc.,2026-02-11,2026-02-11T06:01:15-05:00,Consumer Discretionary,large_cap,source_packets/evt_0005.json,canonical_evidence_banks/evt_0005.json,100,9,110,true
evt_0006,GM,General Motors Co,2026-01-27,2026-01-27T02:25:05-05:00,Consumer Discretionary,large_cap,source_packets/evt_0006.json,canonical_evidence_banks/evt_0006.json,90,10,101,true
evt_0007,KHC,Kraft Heinz Co,2026-02-11,2026-02-11T07:06:00-05:00,Consumer Staples,large_cap,source_packets/evt_0007.json,canonical_evidence_banks/evt_0007.json,71,0,72,true
evt_0008,HSY,HERSHEY CO,2026-02-05,2026-02-05T06:46:48-05:00,Consumer Staples,large_cap,source_packets/evt_0008.json,canonical_evidence_banks/evt_0008.json,80,0,81,true
evt_0009,KMB,KIMBERLY CLARK CORP,2026-01-27,2026-01-27T01:37:08-05:00,Consumer Staples,large_cap,source_packets/evt_0009.json,canonical_evidence_banks/evt_0009.json,83,0,84,true
evt_0010,PG,PROCTER & GAMBLE Co,2026-01-22,2026-01-22T07:02:05-05:00,Consumer Staples,large_cap,source_packets/evt_0010.json,canonical_evidence_banks/evt_0010.json,63,0,64,true
evt_0011,MDT,Medtronic plc,2026-02-17,2026-02-17T01:48:07-05:00,Health Care,large_cap,source_packets/evt_0011.json,canonical_evidence_banks/evt_0011.json,70,0,71,true
evt_0012,EW,Edwards Lifesciences Corp,2026-02-10,2026-02-10T16:22:48-05:00,Health Care,large_cap,source_packets/evt_0012.json,canonical_evidence_banks/evt_0012.json,65,9,75,true
evt_0013,FDX,FEDEX CORP,2026-03-19,2026-03-19T16:10:36-04:00,Industrials,large_cap,source_packets/evt_0013.json,canonical_evidence_banks/evt_0013.json,62,7,70,true
evt_0014,CARR,CARRIER GLOBAL Corp,2026-02-05,2026-02-05T01:56:04-05:00,Industrials,large_cap,source_packets/evt_0014.json,canonical_evidence_banks/evt_0014.json,63,0,64,true
evt_0015,EMR,EMERSON ELECTRIC CO,2026-02-03,2026-02-03T16:05:35-05:00,Industrials,large_cap,source_packets/evt_0015.json,canonical_evidence_banks/evt_0015.json,41,6,48,true
evt_0016,LMT,LOCKHEED MARTIN CORP,2026-01-29,2026-01-29T07:25:24-05:00,Industrials,large_cap,source_packets/evt_0016.json,canonical_evidence_banks/evt_0016.json,104,0,105,true
evt_0017,CRM,"Salesforce, Inc.",2026-02-25,2026-02-25T11:03:12-05:00,Information Technology,large_cap,source_packets/evt_0017.json,canonical_evidence_banks/evt_0017.json,131,0,132,true
evt_0018,CDNS,CADENCE DESIGN SYSTEMS INC,2026-02-17,2026-02-17T16:02:58-05:00,Information Technology,large_cap,source_packets/evt_0018.json,canonical_evidence_banks/evt_0018.json,64,0,65,true
evt_0019,FOX,Fox Corp,2026-02-04,2026-02-04T03:03:26-05:00,Communication Services,large_cap,source_packets/evt_0019.json,canonical_evidence_banks/evt_0019.json,30,5,36,true
evt_0020,NKE,"NIKE, Inc.",2026-03-31,2026-03-31T16:15:22-04:00,Consumer Discretionary,large_cap,source_packets/evt_0020.json,canonical_evidence_banks/evt_0020.json,36,0,37,true
evt_0021,ORLY,O REILLY AUTOMOTIVE INC,2026-02-04,2026-02-04T11:34:03-05:00,Consumer Discretionary,large_cap,source_packets/evt_0021.json,canonical_evidence_banks/evt_0021.json,39,0,40,true
evt_0022,MKC,MCCORMICK & CO INC,2026-03-31,2026-03-31T06:40:56-04:00,Consumer Staples,large_cap,source_packets/evt_0022.json,canonical_evidence_banks/evt_0022.json,13,9,23,true
evt_0023,CPB,CAMPBELL'S Co,2026-03-11,2026-03-11T03:17:14-04:00,Consumer Staples,large_cap,source_packets/evt_0023.json,canonical_evidence_banks/evt_0023.json,77,8,86,true
evt_0024,ABBV,AbbVie Inc.,2026-04-03,2026-04-03T16:05:55-04:00,Health Care,large_cap,source_packets/evt_0024.json,canonical_evidence_banks/evt_0024.json,2,0,3,true
evt_0025,BSX,BOSTON SCIENTIFIC CORP,2026-02-04,2026-02-04T01:33:43-05:00,Health Care,large_cap,source_packets/evt_0025.json,canonical_evidence_banks/evt_0025.json,54,0,55,true
